title,imdb_id
The Giver,tt0435651
The Rock,tt0117500
Evil Dead,tt1288558
Sonic the Hedgehog 2,tt12412888
Deepwater Horizon,tt1860357
Moulin Rouge!,tt0203009
The DUFF,tt1666801
Robots,tt0358082
Carrie,tt1939659
The Circle,tt4287320
Power Rangers,tt3717490
The Adjustment Bureau,tt1385826
Perfume: The Story of a Murderer,tt0396171
Warrior,tt1291584
The Royal Tenenbaums,tt0265666
Ice Age: Collision Course,tt3416828
A Christmas Carol,tt1067106
Neighbors 2: Sorority Rising,tt4438848
The Black Phone,tt7144666
Zero Dark Thirty,tt1790885
Equilibrium,tt0238380
The Addams Family,tt0101272
Knight and Day,tt1013743
Over the Hedge,tt0327084
American Made,tt3532216
American Reunion,tt1605630
Antz,tt0120587
Alvin and the Chipmunks,tt0952640
Public Enemies,tt1152836
Dirty Grandpa,tt1860213
Hell or High Water,tt2582782
Pain & Gain,tt1980209
The Mummy: Tomb of the Dragon Emperor,tt0859163
The Commuter,tt1590193
Bridesmaids,tt1478338
Zoolander,tt0196229
Dumbo,tt3861390
Snowden,tt3774114
Scooby-Doo,tt0267913
Stuart Little,tt0164912
Pitch Black,tt0134847
Into the Woods,tt2180411
Wedding Crashers,tt0396269
Hotel Transylvania 3: Summer Vacation,tt5220122
Need for Speed,tt2369135
Donnie Brasco,tt0119008
Matilda,tt0117008
The Beach,tt0163978
